x L1 L2 Lsum
98 117 6.696178240594868 74.2584926863033 80.95467092689816
99 118 6.425293631624913 83.89175457541133 90.31704820703624
100 119 6.170415146885505 94.8430897208642 101.0135048677497
101 120 5.930314047256789 107.09736866509049 113.02768271234727
102 121 5.703876546547211 120.46998076737839 126.1738573139256
103 122 5.4900912237195545 134.51152246658845 140.001613690308
104 123 5.288038004359591 148.41749191174108 153.70552991610066
105 124 5.096878493147139 161.00073040299606 166.09760889614319
106 125 4.915847472428693 170.80842067800137 175.72426815043005
107 126 4.744245409803618 176.43432495807846 181.1785703678821
108 127 4.581431840906788 176.95641301455913 181.53784485546592
109 128 4.426819513096329 172.28471055277632 176.71153006587264
110 129 4.279869192184566 163.1976087750882 167.4774779672728
111 130 4.140085048211327 151.04155300652207 155.18163805473338
