 x L1 L2 Lsum
97 97 19.494921552863758 12.486762077045602 31.981683629909362
98 98 18.202830537513716 13.308616947971846 31.51144748548556
99 99 17.032770054056762 14.211869025037382 31.244639079094142
100 100 15.970117621436327 15.207248642054235 31.177366263490562
101 101 15.002337087866605 16.30723718726758 31.30957427513419
102 102 14.118638215079663 17.526402035338858 31.64504025041852
103 103 13.309697997511966 18.88180260035682 32.19150059786879
104 104 12.567431542168169 20.393482988898846 32.96091453106702
105 105 11.884802897999764 22.085069528945695 33.96987242694546
106 106 11.255668220450147 23.98449414052869 35.240162360978836
107 107 10.674645216228438 26.124866443318588 36.79951165954702
108 108 10.137004034771422 28.54551737277026 38.682521407541685
109 109 9.638575732650176 31.2932324620677 40.931808194717874
110 110 9.17567519406434 34.42367938212378 43.59935457618812
